id,kind,shortname,naive_change,outcomes,description,attractor_id
P-07,purpose,fluent-metadata-capture,"Conversational metadata entry: stressors, purposes, terms, and attractors can be added mid-session without phase discipline or skill ceremony","operator records stressor narratives without switching between skill phases; skill commands read as natural-language actions (`skill show`, `skill data`, `skill install`) without hyphenated antipatterns","The LLM interface accepts metadata additions in any order, at any phase, without explicit skill invocation or context switching — an operator records architecture as it comes to them",A-06
P-08,purpose,solo-workflow-complete,residual init + skill-data/skill sessions + verify all; core residual/ structure required,operator produces a residual tree that passes verify without outside input,An operator can start and complete residuality workflow artifacts without outside input; consulting others remains desirable but optional,A-01
P-09,purpose,alacarte-skill-walk,skills and CLI treat purpose-walk through ATAM as selectable steps; verify enforces structure not ceremony,operator completes residual work using only the skill steps their workflow needs; operator invokes `tdd-implement` for R/G TDD multi-phase implementation without residuality ceremony,"An operator follows residuality a-la-carte — required core residual structure, optional skill sequence — so existing operator workflows remain feasible",A-06
P-10,purpose,persona-stressor-walk,residual/personas/*.md consumed by stressor-walk; default walk expects stakeholder + direct-user personas; later outcome: empirically derive alpha/beta perspective-heterogeneity coefficients and encode them,operator records stressors drawn from at least two personas including one stakeholder and one direct user; outcome includes eventual empirical alpha/beta encoding for perspective heterogeneity,An operator surfaces stressors from multiple personas so lone or small-team walks are not limited to a single perspective; default adequacy is two personas — one stakeholder and one direct user — unless the operator sets a different bar,A-01
P-11,purpose,probability-free-explore,stressors.csv + attractors.csv as the primary exploration ledger; schema omits probability fields because probability-framing narrows attention to pre-weighted futures and blocks discovery of unforeseen attractors,operator records stressors and attractors that constitute the explored state space,An operator explores application state space fully as stressors explored and attractors discovered,A-01
P-12,purpose,whole-system-residue-zig,naive_change (and later residues) accept whole-system-residue; skills and CLI prompt for non-software zig before software patch,operator records whole-system-residue when the surviving change leaves the software boundary,"An operator records residues that answer stressors by changing hardware, process, organization, or policy when that zig survives better than a software-only zag",A-01
P-13,purpose,criticality-ri-judge,residual matrix criticality + residual matrix ri,operator computes criticality and Ri from residual artifacts after stressor exposure,"An operator judges residual-architecture quality by progress toward criticality and by comparing naive-architecture versus residual-architecture survival across recorded stressors (Ri), not by pattern compliance",A-01
P-14,purpose,longitudinal-study-ri,design and execute a controlled longitudinal study comparing residuality-guided architectures against risk/pattern baselines; publish protocol and results,outcome evidences residual-architecture survival past the Ri threshold across recorded stressors,Residual-architecture demonstrates longitudinal superiority in real environments by surviving more foreseen and unforeseen stressors past an Ri threshold,A-01
P-15,purpose,communicable-robustness,published study artifacts plus documented alpha/beta derivation path tied to persona-driven walks,operator communicates residual-architecture robustness to a prospect via study outcomes and persona measures,"Operators and prospects can see robustness of the method through studies and through encoded perspective-heterogeneity (alpha/beta), so efficacy is communicable not merely asserted",A-01
P-16,purpose,attractor-dual-pressure,attractor records expose positive_state and negative_state (replacing single valence classification); skills require both sides before an attractor is considered defined,operator defines each attractor with a positive state and a negative state,Every attractor carries both positive and negative state pressure so operators know what/why/how keeps the attractor going and what failure looks like,A-01
P-17,purpose,outcome-aligned-forces,rename/extend purpose feature+traits fields toward outcome semantics in CLI and CSV while preserving verify,operator records outcomes that encode end states or modes of operation using defined terminology,Purposes and stressors express outcomes — including modes of operation and ways of being — with schema and CLI language aligned to outcome rather than one-off feature checklists alone,A-06
P-18,purpose,lexicon-project-wide,"commit-msg hook + verify commit-msg validate against lexicon/components/forces; agents and operators prefer shortnames over IDs in all project contexts (sessions, commits, documentation)","project vocabulary is used consistently across all contexts; agents prefer shortnames (`skill-stub-burden`, `architecture-clarity`) over opaque IDs (`S-07`, `A-01`) in conversation, commits, and documentation","Project references use defined lexicon terms and shortnames in all contexts — git history, skill sessions, CLI output, and documentation — so any reader can follow architectural intent without decoding ID tables",A-01

