id,shortname,description,naive_change,outcomes,components_affected,attractor_id
S-20,silent-residue-clobber,"The CLI overwrites residues.csv (and other managed files) without checking for manual modifications — an operator who has annotated residue statuses, added notes, or rearranged rows loses those changes silently; no diff, no warning, no backup; the problem is sharpest for residues.csv but applies to all files",storage-sessions change-detection hash; before write recompute and require --force on drift; storage-format performs the guarded CSV write,residue files preserve manual modifications and surface diffs before any overwrite occurs,"storage-sessions, storage-format",A-05
S-21,phase-rigidity-assumption,"An operator trained on rigid phase-gated methodologies assumes skills must run in order, phases cannot overlap, and metadata must be complete before analysis — the tool does nothing to surface its fluent nature, causing operators to over-structure their workflow or abandon the tool as too prescriptive",skill-data and CLI process text include fluent-usage notes; cli-help artifacts lead with the fluent entry model; skills describe themselves as analytical lenses rather than mandatory gates,skill sessions communicate fluent stressor entry to counter phase-rigidity assumptions,"skills-phases, cli, cli-help",A-05
S-22,prospect-efficacy-doubt,Prospect skepticism of residuality efficacy blocks adoption — without robust studies and empirical alpha/beta perspective measures the method looks like ungrounded ceremony,Design and execute controlled studies; derive and document alpha/beta; publish communicable robustness evidence alongside persona-walk defaults,operator communicates residual-architecture robustness to a prospect via study and persona outcomes,"research-study, skills-personas",A-01
S-23,software-only-zag,"Operator prematurely decides on a software fix for a stressor and never examines hardware, process, organization, or policy zig",Skills and CLI remind the operator to examine whole-system-residue before software patches; reminder is incentive-aligned not foolproof,operator examines whole-system-residue before recording a software-only naive change,"skills-phases, cli, structure-analysis-residues",A-07
S-24,ceremony-lockout,"Operator workflows are not considered — the tool demands a rigid full skill sequence and rejects a-la-carte use, so operators abandon residuality or fake compliance",Make skill steps selectable; enforce residual structure via verify without mandating ceremony order,operator uses residual a-la-carte without being forced through unused skill phases,"skills-phases, verification",A-06
S-25,attractor-valence-blind,Operator cannot tell why a stressor hurts the project because attractors lack paired positive and negative pressure — the stressor has nowhere coherent to land,Require each attractor to define positive_state and negative_state; migrate off single-valence attractor classification,operator links each stressor to an attractor that has both positive and negative state pressure,"structure-analysis-attractors, verification, storage-format",A-01
S-26,matrix-viewport-blind,"The NKP matrix is hard to read at dogfood scale — coupling heat does not read as a heatmap, row/column totals are missing or easy to lose, and headers/row labels scroll off-screen — so operators miss hyperliminal bands, fission candidates, and which forces drive K","matrix show paints true background heat (not digit tint), always shows row/column/grand totals, supports --csv for external sticky viewers, and documents sticky header/label limits of the terminal table (or ships a pager/TUI path when the grid exceeds the viewport)","operator reads coupling density, row/column totals, and force labels without losing orientation in the matrix viewport","structure-analysis, cli",A-01
S-27,residue-matrix-shape,"residues.csv is shaped like a normalized database table (id, force_id, component_id, status, notes) — operators cannot read coupling at a glance or edit a force×component cell without the tool; direct spreadsheet modification and review without residual CLI become unrealistic","store residues as a matrix-shaped artifact (force shortnames × component ids, cells = status/notes) with CSV round-trip that remains human-editable; keep append/insert ergonomics via the tool while making eyeball edits match matrix show",operator reads and edits residue coupling as a matrix rather than as opaque database rows,"structure-analysis-residues, storage-format, structure-analysis",A-04
S-28,lexicon-commit-drift,Operators use conventional commit prefixes (fix:/chore:/refactor:) that carry no project vocabulary — git log drifts from lexicon and components.csv,Add commit-msg hook with lexicon/component validation; block conventional commit types when commit_msg_enforce is true; allow general - override,operator commits omit defined outcome from subjects,"verification-git-hook, structure-definition-lexicon, structure-definition-components, verification",A-02
S-29,cli-bypass,"Agent or operator edits residual/ CSVs directly (Python scripts, raw text edits, sed) for operations the residual CLI already supports — bypassing ID generation, idempotency guards, and verify",CLAUDE.md instructs agents to use residual CLI for all data operations; verify detects drift from direct mutation; force_id generation and idempotency remain owned by the tool,operator uses residual add for all force additions; direct CSV mutation is only used for operations the CLI does not support,,A-08
S-30,persona-context-pollution,"When persona voices are generated inline alongside the main conversation they read the same context, share the same mental model, and produce shallow concerns that mirror what the operator already thinks — producing no new information and failing to surface real stressor pressure from external viewpoints",Persona walks in later phases use isolated subagents to prevent context pollution; each persona subagent runs staged analysis without reading the main session context,personas are given their own space to develop genuine concerns; context pollution and groupthink-esque effects from shared session context are prevented,,A-05
